,Date,Burundi,Finland,Saudi Arabia,Russia,Switzerland,China
30,1990-01-01,438.712520286047,31267.3749497766,17453.4124484581,9570.80831203189,70199.3238998774,905.030858570453
31,1991-01-01,450.207647867386,29266.591435758797,19427.8578697857,9061.75978309559,68692.502542959,975.461192526886
32,1992-01-01,445.104984147392,28143.7689820062,19606.3988338284,7737.48141363632,67909.6010516422,1100.64417174238
33,1993-01-01,409.23402461632895,27822.5112185391,18815.7738940915,7070.53517043334,67209.1660075312,1239.1271844926
34,1994-01-01,386.82796304117403,28800.718793273798,18452.2250268934,6183.90488477773,67522.1499930045,1384.92771102922
35,1995-01-01,350.95098636595594,29900.8706211488,18070.4018531975,5928.95643611263,67394.9716054143,1520.02678450203
36,1996-01-01,318.982044464924,30895.8727257902,18162.0466807963,5714.62597474562,67429.3907450098,1653.4308683450502
37,1997-01-01,310.730174584841,32755.2026464448,18009.3143241699,5804.21478227836,68793.5595843226,1787.7638191814
38,1998-01-01,322.15190458219104,34451.1332280259,18178.0491521116,5505.69725752101,70691.9467156372,1909.6189553610898
39,1999-01-01,314.74764568981703,35876.5746131448,17137.7202699684,5876.20292433974,71583.6867042218,2038.2028738510699
40,2000-01-01,306.58447887587397,37869.158796832206,17690.667661002,6491.07222719881,74013.0564120652,2193.8929912058998
41,2001-01-01,305.854482837044,38769.1780036498,17032.3631103121,6851.11363704442,74705.1554397886,2359.5682172753895
42,2002-01-01,310.94532237631097,39335.5680217856,16094.7060623874,7206.18951073778,74138.083483024,2557.8870938690698
43,2003-01-01,298.0252054849,40028.2038752891,17384.8003795546,7767.40504219957,73555.5996365413,2797.1717183038695
44,2004-01-01,302.682082184361,41505.4798830145,18219.8637993451,8360.2516495949,75112.8673911204,3061.82776434297
45,2005-01-01,295.737158360122,42513.5190015291,18683.3838319266,8929.30105401819,76784.6373295658,3390.7101702354
46,2006-01-01,301.790643958273,44056.309671265706,18669.6202875056,9693.19784425353,79367.9002308094,3800.7590824091103
47,2007-01-01,302.107064674046,46194.059834447995,18496.3311742545,10535.1258045942,81804.8618433813,4319.02376854822
48,2008-01-01,306.507408668761,46339.980576334696,19117.9356513087,11087.821053001,82997.6921567092,4711.63512676117
49,2009-01-01,307.904259292962,42395.0448289162,18202.6991630007,10219.8942411996,80262.4856424871,5128.89506825024
50,2010-01-01,313.311811270078,43546.0561931006,18568.3698643145,10674.9957825675,82026.7245120154,5647.05875239019
51,2011-01-01,315.656916434851,44448.9385173329,19813.2589221404,11125.3445917138,82677.599030338,6156.82859584857
52,2012-01-01,319.438526988977,43619.7030432553,20249.8045023442,11553.5764196495,82800.0740759839,6608.70712164955
53,2013-01-01,324.82865380646,43027.6896240408,20175.5579524664,11731.3817803499,83344.523368231,7086.8741425548
54,2014-01-01,328.147188945427,42693.7481177945,20327.6749584593,11608.7586367575,84348.3928201784,7574.679931412479
55,2015-01-01,305.54964602324503,42784.6983616432,20627.9269288204,11355.236304971,84776.1421659748,8066.942634932059
56,2016-01-01,294.218841933335,43861.3239094556,20503.3817729956,11356.4000420395,85570.3960583982,8572.88213343734
57,2017-01-01,286.431521739316,45155.466031940305,19946.9553702638,11550.5251991967,86119.1453732551,9117.337711491658
58,2018-01-01,281.970226319531,45610.579263750995,20067.778733703,11875.7332037328,87980.6706854377,9688.466859362941
59,2019-01-01,278.319365394934,46172.567498465,19801.8742165029,12122.6072885872,88413.1917082485,10228.292811471
60,2020-01-01,270.69144299459,44773.201108721296,18691.2474250888,11786.6213075834,85681.9667910379,10430.730046943001
