date,Sweden,Denmark
1995-01-01,49709.4,34527.0
1995-04-01,48882.8,35418.8
1995-07-01,50884.9,35448.9
1995-10-01,55096.2,36091.4
1996-01-01,56363.7,36198.6
1996-04-01,57272.4,36896.9
1996-07-01,58299.0,37432.2
1996-10-01,57951.4,37304.6
1997-01-01,57625.6,37835.6
1997-04-01,57783.4,38304.2
1997-07-01,59954.5,38246.3
1997-10-01,61546.9,38777.9
1998-01-01,60726.4,38948.4
1998-04-01,62467.2,38870.3
1998-07-01,60177.3,39893.5
1998-10-01,58599.5,40430.4
1999-01-01,61832.8,40878.7
1999-04-01,62897.4,41316.9
1999-07-01,64976.6,41927.3
1999-10-01,67176.9,42848.8
2000-01-01,68818.9,43541.5
2000-04-01,72793.9,44212.5
2000-07-01,72683.7,44565.4
2000-10-01,70913.7,45696.5
2001-01-01,68444.8,45221.8
2001-04-01,68647.3,45766.6
2001-07-01,66430.9,46361.6
2001-10-01,67267.6,46697.8
2002-01-01,69556.9,47051.9
2002-04-01,70955.7,47199,0
2002-07-01,70902.5,47739.2
2002-10-01,72463.1,47803.9
2003-01-01,73261.7,48055.1
2003-04-01,73001.4,47844.7
2003-07-01,74368.3,48303.9
2003-10-01,76237.7,49150.8
2004-01-01,75900.1,49850.8
2004-04-01,76785.9,50164.7
2004-07-01,77777.8,50715.4
2004-10-01,79236,0,51691.6
2005-01-01,79040.7,52056.7
2005-04-01,78639.8,53070.6
2005-07-01,78781.4,53577.3
2005-10-01,78843.9,54126.6
2006-01-01,81341.9,55225.8
2006-04-01,83518.9,56978.9
2006-07-01,85212.8,56885.2
2006-10-01,87317,0,56442.6
2007-01-01,88670.1,57651.7
2007-04-01,89083.4,57612.6
2007-07-01,89626.1,58379.8
2007-10-01,91796.8,59736,0
2008-01-01,90670.3,60472.3
2008-04-01,91276.5,60317.4
2008-07-01,90762.4,61100.7
2008-10-01,82518,0,59724.9
2009-01-01,75897.2,58178.7
2009-04-01,77334.5,56912.9
2009-07-01,80159.2,57836.1
2009-10-01,81362.8,58348.2
2010-01-01,87177.2,59686.6
2010-04-01,91522.6,60444.5
2010-07-01,95937,0,61401.9
2010-10-01,99720.3,61634.5
2011-01-01,103995.7,61899.4
2011-04-01,102966.1,62034.6
2011-07-01,103204.9,61588.2
2011-10-01,102225.4,62355.7
2012-01-01,105245.3,63029.8
2012-04-01,105621.6,63683.8
2012-07-01,111267.6,63997.8
2012-10-01,108474.1,63867.2
2013-01-01,111637.4,64166.8
2013-04-01,110852.6,64325.2
2013-07-01,110462.1,64936.4
2013-10-01,109430.1,65313.3
2014-01-01,110766.3,65614.5
2014-04-01,109898.7,65819.3
2014-07-01,109284.2,66610,0
2014-10-01,109694.9,67711.5
2015-01-01,111139.2,68018.8
2015-04-01,113714.7,68055.9
2015-07-01,113904.6,68402.9
2015-10-01,116663.7,68541.5
2016-01-01,116382.9,69514.3
2016-04-01,117822.6,70533.5
2016-07-01,115946.5,70934.9
2016-10-01,115303.2,72125.8
2017-01-01,119281.3,72978.9
2017-04-01,119145.9,74111.9
2017-07-01,121241.5,73586.1
2017-10-01,120164.6,74128.8
2018-01-01,119382.2,74341.2
2018-04-01,116985,0,75013.5
2018-07-01,115355.2,76158.9
2018-10-01,119268.1,76815.1
2019-01-01,120104.2,76583.3
2019-04-01,118755.5,77341.4
2019-07-01,118558.6,78135.8
2019-10-01,119788.6,78415.6
2020-01-01,119956.8,78969.8
2020-04-01,110893.2,74275.6
2020-07-01,120287.1,79322.6
2020-10-01,124140.8,79947.5
2021-01-01,128571.8,79954.7
2021-04-01,130154.8,82670.9
2021-07-01,132666.3,85126.2
