DATE,NYGDPPCAPKDBDI,NYGDPPCAPKDFIN,NYGDPPCAPKDSAU,NYGDPPCAPKDRUS,NYGDPPCAPKDCHE,NYGDPPCAPKDCHN
1960-01-01,285.438882770701,11420.6995620231,.,.,.,238.216631254768
1961-01-01,241.496895763458,12202.7850914926,.,.,.,175.023372304265
1962-01-01,258.412191265925,12481.5026294647,.,.,.,163.906754298747
1963-01-01,263.915627036592,12800.7136098735,.,.,.,176.400144188262
1964-01-01,274.736600929973,13396.5679890542,.,.,.,203.687474412379
1965-01-01,279.351135329403,14060.0181655713,.,.,.,232.60679595708
1966-01-01,285.221475981235,14339.7910118049,.,.,.,250.304460571181
1967-01-01,316.388756895838,14571.6695717418,.,.,.,229.875868065371
1968-01-01,307.53254960619,14840.5177798208,13739.0061105314,.,.,214.769686609804
1969-01-01,296.210756229206,16273.6523568368,14016.7926700664,.,.,244.363532682577
1970-01-01,352.648709887429,17121.7436827791,21336.2569325096,.,.,283.584855403322
1971-01-01,357.107677463116,17503.1861020711,24599.0710124717,.,.,295.379649233061
1972-01-01,330.525597999405,18745.2390581261,28856.9705840618,.,.,299.190359719284
1973-01-01,349.820163950766,19940.8064332558,34129.1314309179,.,.,315.129106853377
1974-01-01,343.343452369664,20478.7012676221,37741.133334053,.,.,315.816106158208
1975-01-01,340.652850422092,20755.9880627045,32680.693975802,.,.,337.343523152952
1976-01-01,360.884702253069,20764.778467282,36612.5602776242,.,.,326.948883005765
1977-01-01,393.553643851537,20756.3675592083,37275.9768915553,.,.,346.938543185464
1978-01-01,380.492004851256,21301.1445237629,33535.9434714117,.,.,381.098656321566
1979-01-01,377.090081658686,22759.952290133,35516.1569761285,.,.,404.595917871102
1980-01-01,371.111950099511,23911.9961397622,35380.4703231464,.,59887.020401478,430.854648739046
1981-01-01,405.595179343331,24123.5386393867,33898.2650811833,.,60514.054433133,447.118996663539
1982-01-01,390.948479434276,24734.3476112642,25215.5193014899,.,59373.7415111487,480.310474010796
1983-01-01,394.85176990784,25353.6569377008,19879.5180780445,.,59497.5210247351,524.408436893203
1984-01-01,384.892557391838,26035.041512921,17857.5293406781,.,61067.7821955469,596.200055951351
1985-01-01,418.495981297836,26846.7947596539,15248.7626868654,.,63032.2992251764,667.127363525023
1986-01-01,420.080098500056,27497.139519752,16969.6530941405,.,63870.594724382,716.104075086962
1987-01-01,430.819894416618,28399.4516774266,15129.5744765427,.,64476.9842905599,786.863491695095
1988-01-01,440.10166592373,29794.358819925,16403.8935196748,.,66102.6729662584,861.191965465324
1989-01-01,434.411662582344,31197.2093208591,15700.2417648352,9883.40423870425,68410.0812770381,883.762594105905
1990-01-01,438.712520286047,31267.3749497766,17453.4124484581,9570.80831203189,70199.3238998774,905.030858570453
1991-01-01,450.207647867386,29266.5914357588,19427.8578697857,9061.75978309559,68692.502542959,975.461192526886
1992-01-01,445.104984147392,28143.7689820062,19606.3988338284,7737.48141363632,67909.6010516422,1100.64417174238
1993-01-01,409.234024616329,27822.5112185391,18815.7738940915,7070.53517043334,67209.1660075312,1239.1271844926
1994-01-01,386.827963041174,28800.7187932738,18452.2250268934,6183.90488477773,67522.1499930045,1384.92771102922
1995-01-01,350.950986365956,29900.8706211488,18070.4018531975,5928.95643611263,67394.9716054143,1520.02678450203
1996-01-01,318.982044464924,30895.8727257902,18162.0466807963,5714.62597474562,67429.3907450098,1653.43086834505
1997-01-01,310.730174584841,32755.2026464448,18009.3143241699,5804.21478227836,68793.5595843226,1787.7638191814
1998-01-01,322.151904582191,34451.1332280259,18178.0491521116,5505.69725752101,70691.9467156372,1909.61895536109
1999-01-01,314.747645689817,35876.5746131448,17137.7202699684,5876.20292433974,71583.6867042218,2038.20287385107
2000-01-01,306.584478875874,37869.1587968322,17690.667661002,6491.07222719881,74013.0564120652,2193.8929912059
2001-01-01,305.854482837044,38769.1780036498,17032.3631103121,6851.11363704442,74705.1554397886,2359.56821727539
2002-01-01,310.945322376311,39335.5680217856,16094.7060623874,7206.18951073778,74138.083483024,2557.88709386907
2003-01-01,298.0252054849,40028.2038752891,17384.8003795546,7767.40504219957,73555.5996365413,2797.17171830387
2004-01-01,302.682082184361,41505.4798830145,18219.8637993451,8360.2516495949,75112.8673911204,3061.82776434297
2005-01-01,295.737158360122,42513.5190015291,18683.3838319266,8929.30105401819,76784.6373295658,3390.7101702354
2006-01-01,301.790643958273,44056.3096712657,18669.6202875056,9693.19784425353,79367.9002308094,3800.75908240911
2007-01-01,302.107064674046,46194.059834448,18496.3311742545,10535.1258045942,81804.8618433813,4319.02376854822
2008-01-01,306.507408668761,46339.9805763347,19117.9356513087,11087.821053001,82997.6921567092,4711.63512676117
2009-01-01,307.904259292962,42395.0448289162,18202.6991630007,10219.8942411996,80262.4856424871,5128.89506825024
2010-01-01,313.311811270078,43546.0561931006,18568.3698643145,10674.9957825675,82026.7245120154,5647.05875239019
2011-01-01,315.656916434851,44448.9385173329,19813.2589221404,11125.3445917138,82677.599030338,6156.82859584857
2012-01-01,319.438526988977,43619.7030432553,20249.8045023442,11553.5764196495,82800.0740759839,6608.70712164955
2013-01-01,324.82865380646,43027.6896240408,20175.5579524664,11731.3817803499,83344.523368231,7086.8741425548
2014-01-01,328.147188945427,42693.7481177945,20327.6749584593,11608.7586367575,84348.3928201784,7574.67993141248
2015-01-01,305.549646023245,42784.6983616432,20627.9269288204,11355.236304971,84776.1421659748,8066.94263493206
2016-01-01,294.218841933335,43861.3239094556,20503.3817729956,11356.4000420395,85570.3960583982,8572.88213343734
2017-01-01,286.431521739316,45155.4660319403,19946.9553702638,11550.5251991967,86119.1453732551,9117.33771149166
2018-01-01,281.970226319531,45610.579263751,20067.778733703,11875.7332037328,87980.6706854377,9688.46685936294
2019-01-01,278.319365394934,46172.567498465,19801.8742165029,12122.6072885872,88413.1917082485,10228.292811471
2020-01-01,270.69144299459,44773.2011087213,18691.2474250888,11786.6213075834,85681.9667910379,10430.730046943
