country;happiness2021;GDP
Afghanistan;2.5230;592
Albania;5.1170;5991
Algeria;4.8870;3364
Argentina;5.9290;9122
Armenia;5.2830;4125
Australia;7.1830;62723
Austria;7.2680;53859
Azerbaijan;5.1710;4883
Bahrain;6.6470;24294
Bangladesh;5.0250;2138
Belarus;5.5340;6487
Belgium;6.8340;50103
Benin;5.0450;1388
Bolivia;5.7160;3624
Bosnia and Herzegovina;5.8130;6728
Botswana;3.4670;7817
Brazil;6.3300;7011
Bulgaria;5.2660;11321
Burkina Faso;4.8340;876
Burundi;3.7750;265
Cambodia;4.8300;1720
Cameroon;5.1420;1649
Canada;7.1030;49222
Chad;4.3550;741
Chile;6.1720;15617
China;5.3390;11819
Colombia;6.0120;5753
Comoros;4.2890;1420
Costa Rica;7.0690;11806
Croatia;5.8820;16247
Cyprus;6.2230;29551
Czech Republic;6.9650;25732
Denmark;7.6200;67218
Dominican Republic;5.5450;7951
Ecuador;5.7640;5665
Egypt;4.2830;3832
El Salvador;6.0610;4031
Estonia;6.1890;27101
Eswatini;4.3080;3710
Ethiopia;4.2750;952
Finland;7.8420;54330
France;6.6900;44995
Gabon;4.8520;8601
Gambia;5.0510;834
Georgia;4.8910;4361
Germany;7.1550;51860
Ghana;5.0880;2374
Greece;5.7230;19673
Guatemala;6.4350;4439
Guinea;4.9840;1141
Haiti;3.6150;1943
Honduras;5.9190;2586
Hong Kong;5.4770;49036
Hungary;5.9920;18075
Iceland;7.5540;65273
India;3.8190;2191
Indonesia;5.3450;4256
Iran;4.7210;8215
Iraq;4.8540;4632
Ireland;7.0850;94556
Israel;7.1570;47602
Italy;6.4830;34997
Ivory Coast;5.3060;2567
Jamaica;6.3090;5328
Japan;5.9400;42928
Jordan;4.3950;4358
Kazakhstan;6.1520;9828
Kenya;4.6070;2129
Kuwait;6.1060;25290
Kyrgyzstan;5.7440;1123
Laos;5.0300;2773
Latvia;6.0320;19824
Lebanon;4.5840;2802
Lesotho;3.5120;1178
Liberia;4.6250;700
Libya;5.4100;3617
Lithuania;6.2550;22245
Luxembourg;7.3240;131782
Madagascar;4.2080;521
Malawi;3.6000;432
Malaysia;5.3840;11604
Maldives;5.1980;11801
Mali;4.7230;983
Malta;6.6020;31576
Mauritania;4.2270;2179
Mauritius;6.0490;9639
Mexico;6.3170;9246
Moldova;5.7660;4638
Mongolia;5.6770;4172
Montenegro;5.5810;9064
Morocco;4.9180;3415
Mozambique;4.7940;425
Myanmar;4.4260;1432
Namibia;4.5740;4371
Nepal;5.2690;1236
Netherlands;7.4640;58003
New Zealand;7.2770;47499
Nicaragua;5.9720;1877
Niger;5.0740;633
Nigeria;4.7590;2432
North Macedonia;5.1010;6657
Norway;7.3920;81995
Pakistan;4.9340;1260
Panama;6.1800;13690
Paraguay;5.6530;5146
Peru;5.8400;6678
Philippines;5.8800;3646
Poland;6.1660;16930
Portugal;5.9290;25065
Republic of the Congo;5.3420;588
Romania;6.1400;14968
Russia;5.4770;11654
Rwanda;3.4150;821
Saudi Arabia;6.4940;22700
Senegal;5.1320;1622
Serbia;6.0780;8748
Sierra Leone;3.8490;542
Singapore;6.3770;64103
Slovakia;6.3310;21529
Slovenia;6.4610;28104
South Africa;4.9560;5444
South Korea;5.8450;34866
Spain;6.4910;30996
Sri Lanka;4.3250;3830
Sweden;7.3630;58977
Switzerland;7.5710;94696
Taiwan;6.5840;32123
Tajikistan;5.4660;810
Tanzania;3.6230;1104
Thailand;5.9850;7702
Togo;4.1070;1016
Tunisia;4.5960;3683
Turkey;4.9480;9327
Turkmenistan;5.0660;9032
Uganda;4.6360;972
Ukraine;4.8750;3984
United Arab Emirates;6.5610;35171
United Kingdom;7.0640;46344
United States;6.9510;68309
Uruguay;6.4310;15653
Uzbekistan;6.1790;1775
Venezuela;4.8920;1542
Vietnam;5.4110;3759
Yemen;3.6580;754
Zambia;4.0730;974
Zimbabwe;3.1450;1684
