symbol,date,GNI,freedom
Burundi,2011,230,0.489863038063049
Burundi,2014,260,0.431384980678558
Burundi,2018,250,0.646398603916168
China,2008,3100,0.853072047233581
China,2009,3680,0.77114325761795
China,2010,4340,0.8047935962677
China,2011,5040,0.824162364006042
China,2012,5910,0.808255136013031
China,2013,6740,0.804723918437957
China,2017,8670,0.877617597579956
China,2018,9540,0.895377695560455
China,2019,10310,0.927356243133544
China,2020,10550,0.891122996807098
Finland,2006,42800,0.968580484390258
Finland,2008,50070,0.934178948402404
Finland,2010,49600,0.916009128093719
Finland,2011,50150,0.936448395252227
Finland,2012,48940,0.920968115329742
Finland,2013,49480,0.918625354766845
Finland,2014,49390,0.933043956756591
Finland,2015,47150,0.929861903190612
Finland,2016,45500,0.948372185230255
Finland,2017,44790,0.962198972702026
Finland,2018,48160,0.937807381153106
Finland,2019,49950,0.947616696357727
Finland,2020,49780,0.962423682212829
Russia,2006,5810,0.643388211727142
Russia,2007,7560,0.592569708824157
Russia,2008,9580,0.642778277397155
Russia,2009,9230,0.617115139961242
Russia,2010,9980,0.613159000873565
Russia,2011,11060,0.625847578048706
Russia,2012,13490,0.60910415649414
Russia,2013,15190,0.661185562610626
Russia,2014,14630,0.744332075119018
Russia,2015,11780,0.685454726219177
Russia,2016,9730,0.713606297969818
Russia,2017,9210,0.730874240398406
Russia,2018,10250,0.729282200336456
Russia,2019,11250,0.714766085147857
Russia,2020,10690,0.714466452598571
Switzerland,2006,65590,0.918957710266113
Switzerland,2009,72470,0.891277194023132
Switzerland,2012,87770,0.945428013801574
Switzerland,2014,89400,0.949401438236236
Switzerland,2015,87960,0.927802443504333
Switzerland,2016,84420,0.933947086334228
Switzerland,2017,81880,0.9249969124794
Switzerland,2018,83280,0.926414549350738
Switzerland,2019,84260,0.91316670179367
Switzerland,2020,82620,0.917343258857727
Uganda,2006,350,0.746722817420959
Uganda,2007,390,0.707960546016693
Uganda,2008,430,0.577933728694915
Uganda,2009,550,0.760231494903564
Uganda,2010,680,0.800667285919189
Uganda,2011,850,0.732973992824554
Uganda,2012,830,0.649463236331939
Uganda,2013,800,0.763021349906921
Uganda,2014,820,0.834174394607543
Uganda,2015,830,0.757835328578948
Uganda,2016,800,0.739409744739532
Uganda,2017,740,0.77234411239624
Uganda,2018,750,0.72851276397705
Uganda,2019,790,0.704376637935638
Uganda,2020,800,0.687482118606567
